\fixlen = T
|set|TIME        |PDCSAP_FLUX  |
|int|double      |double       |
 0   123.9517811  2.4858497e+05 
 0   123.9722158  2.4864138e+05 
 0   123.9926504  2.4863444e+05 
 0   124.0130850  2.4869442e+05 
 0   124.0335197  2.4865178e+05 
 0   124.0539543  2.4865480e+05 
 0   124.0743889  2.4858492e+05 
 0   124.0948235  2.4861739e+05 
 0   124.1152582  2.4866905e+05 
 0   124.1356928  2.4868366e+05 
 0   124.1561275  2.4864119e+05 
 0   124.1765622  2.4874861e+05 
 0   124.1969967  2.4865812e+05 
 0   124.2174314  2.4862639e+05 
 0   124.2378660  2.4862573e+05 
 0   124.2583006  2.4859372e+05 
 0   124.2787353  2.4861269e+05 
 0   124.2991699  2.4857061e+05 
 0   124.3196046  2.4857423e+05 
 0   124.3400392  2.4858711e+05 
 0   124.3604738  2.4860750e+05 
 0   124.3809085  2.4862070e+05 
 0   124.4013431  2.4861730e+05 
 0   124.4217777  2.4856544e+05 
 0   124.4422124  2.4867297e+05 
 0   124.4626471  2.4863386e+05 
 0   124.4830816  2.4865767e+05 
 0   124.5035163  2.4864822e+05 
 0   124.5239508  2.4862988e+05 
 0   124.5443855  2.4867648e+05 
 0   124.5648202  2.4860908e+05 
 0   124.5852547  2.4867578e+05 
 0   124.6056895  2.4874034e+05 
 0   124.6261241  2.4864941e+05 
 0   124.6465587  2.4870839e+05 
 0   124.6669933  2.4873733e+05 
 0   124.6874280  2.4866436e+05 
 0   124.7078626  2.4864089e+05 
 0   124.7282972  2.4861753e+05 
 0   124.7487319  2.4861822e+05 
 0   124.7691665  2.4865653e+05 
 0   124.7896011  2.4860408e+05 
 0   124.8100357  2.4863203e+05 
 0   124.8304704  2.4863650e+05 
 0   124.8509050  2.4870041e+05 
 0   124.8713396  2.4866008e+05 
 0   124.8917742  2.4868519e+05 
 0   124.9122090  2.4870158e+05 
 0   124.9326435  2.4867005e+05 
 0   124.9530781  2.4863467e+05 
 0   124.9735129  2.4870017e+05 
 0   124.9939474  2.4864702e+05 
 0   125.0143820  2.4862919e+05 
 0   125.0348166  2.4863592e+05 
 0   125.0552513  2.4864405e+05 
 0   125.0961206  2.4869117e+05 
 0   125.1165552  2.4867889e+05 
 0   125.1369899  2.4872358e+05 
 0   125.1574245  2.4864948e+05 
 0   125.1778590  2.4865705e+05 
 0   125.1982938  2.4863344e+05 
 0   125.2187284  2.4866377e+05 
 0   125.2391629  2.4865720e+05 
 0   125.2595977  2.4858664e+05 
 0   125.2800323  2.4859680e+05 
 0   125.3004668  2.4861597e+05 
 0   125.3209015  2.4861927e+05 
 0   125.3413362  2.4865162e+05 
 0   125.3617707  2.4864316e+05 
 0   125.3822054  2.4867336e+05 
 0   125.4026401  2.4869192e+05 
 0   125.4230747  2.4862894e+05 
 0   125.4435093  2.4869584e+05 
 0   125.4639439  2.4869998e+05 
 0   125.4843786  2.4868305e+05 
 0   125.5048132  2.4869698e+05 
 0   125.5252478  2.4864775e+05 
 0   125.5456825  2.4870691e+05 
 0   125.5661170  2.4870397e+05 
 0   125.5865517  2.4872638e+05 
 0   125.6069863  2.4873016e+05 
 0   125.6274209  2.4869552e+05 
 0   125.6478557  2.4873172e+05 
 0   125.6682902  2.4867395e+05 
 0   125.6887249  2.4863025e+05 
 0   125.7091596  2.4862631e+05 
 0   125.7295941  2.4859097e+05 
 0   125.7500287  2.4862444e+05 
 0   125.7704635  2.4860809e+05 
 0   125.7908980  2.4857461e+05 
 0   125.8113326  2.4860733e+05 
 0   125.8317674  2.4864244e+05 
 0   125.8522019  2.4864088e+05 
 0   125.8726365  2.4868425e+05 
 0   125.8930712  2.4864297e+05 
 0   125.9135058  2.4875106e+05 
 0   125.9339404  2.4868552e+05 
