kepid,kepoi_name,koi_disposition,koi_period,koi_time0bk
3935914,"K00809.01","CONFIRMED",1.594745374,170.6483505
3940418,"K00810.01","CONFIRMED",4.783002698,170.508434
4049131,"K00811.01","CONFIRMED",20.50588921,181.43428
4139816,"K00812.01","CONFIRMED",3.340218842,171.979062
5287983,"K00828.01","FALSE POSITIVE",2.507089906,171.002455
5358241,"K00829.01","CONFIRMED",18.64932728,174.771
10875245,"K00117.02","CONFIRMED",4.90144976,138.60548
5358241,"K00829.02","CONFIRMED",9.75192101,138.78608
5358241,"K00829.03","CONFIRMED",38.5576546,163.85063
5358624,"K00830.01","CONFIRMED",3.525632539,170.0479951
4544670,"K00815.01","CANDIDATE",34.84398644,172.633252
4664847,"K00816.01","CONFIRMED",7.748094239,174.997206
4725681,"K00817.01","CONFIRMED",23.96793669,186.22182
4725681,"K00817.02","CONFIRMED",8.29561738,135.79284
4913852,"K00818.01","CONFIRMED",8.11437482,176.33968
4932348,"K00819.01","FALSE POSITIVE",38.036729482,196.934947
4936180,"K00820.01","CANDIDATE",4.64090031,173.64638
11913073,"K00011.01","FALSE POSITIVE",3.747838198,171.66504
10875245,"K00117.01","CONFIRMED",14.74914825,138.77799
5021899,"K00821.01","CONFIRMED",21.81295996,174.01085
5077629,"K00822.01","FALSE POSITIVE",7.91936937,172.181092
5115978,"K00823.01","CANDIDATE",1.028436523,170.228582
5164255,"K00824.01","CONFIRMED",15.37562369,173.61402
5252423,"K00825.01","CONFIRMED",8.10363271,176.9486
5252423,"K00825.02","CONFIRMED",4.71510843,134.96178
5272878,"K00826.01","CONFIRMED",6.365839713,171.13575
5283542,"K00827.01","FALSE POSITIVE",5.97581754,174.77602
5649215,"K00839.01","FALSE POSITIVE",2.446737317,170.66951
5651104,"K00840.01","CONFIRMED",3.04033046,169.9490106
5792202,"K00841.01","CONFIRMED",15.33528675,174.00278
10875245,"K00117.04","CONFIRMED",7.95825328,137.80219
5792202,"K00841.02","CONFIRMED",31.33046135,153.43031
5370302,"K00831.01","FALSE POSITIVE",3.9043425,173.393734
5372966,"K00832.01","FALSE POSITIVE",9.286358079,171.8214689
5376067,"K00833.01","FALSE POSITIVE",3.951405455,173.276125
5436502,"K00834.01","CONFIRMED",23.65369415,171.376107
5436502,"K00834.02","CONFIRMED",13.23352214,140.32196
5436502,"K00834.03","CONFIRMED",6.15560285,134.81656
5436502,"K00834.04","CONFIRMED",2.090811305,134.17462
10875245,"K00117.03","CONFIRMED",3.180027898,133.49863
5436502,"K00834.05","CONFIRMED",50.4467417,178.5014
5456651,"K00835.01","CONFIRMED",11.76307164,180.93613
5456651,"K00835.02","CONFIRMED",56.2279271,132.29259
5481416,"K00836.01","FALSE POSITIVE",2.384052875,171.58362
5531576,"K00837.01","CONFIRMED",7.953547,174.66224
5531576,"K00837.02","CONFIRMED",4.14451656,135.92831
