,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Global_Importance
"flux__fft_coefficient__attr_""abs""__coeff_71",-0.09176587,-0.05363449,0.04359167,-0.060574993,-0.012256925,-0.0026030757,6.922109e-05,-0.015475386,0.11293436,-0.065225534,0.045813154
"flux__cwt_coefficients__coeff_6__w_2__widths_(2, 5, 10, 20)",0.0035316881,-0.03300664,0.016038422,-0.024443695,-0.094723575,0.08306326,0.066449285,0.032530732,0.032680284,0.07049706,0.045696463
"flux__fft_coefficient__attr_""imag""__coeff_22",0.020891542,0.020876074,0.018751908,-0.05554636,0.10688866,-0.09166504,-0.025208736,-0.06628322,-0.020602534,-0.029981475,0.045669552
"flux__fft_coefficient__attr_""abs""__coeff_18",-0.08827688,-0.004434014,-0.045900077,0.13547504,-0.0050264816,-0.030044219,-0.063384585,0.07604914,0.0016613301,-0.0057617193,0.04560135
"flux__fft_coefficient__attr_""imag""__coeff_20",0.017136313,0.012332986,0.022243038,-0.055705182,0.11860407,-0.10140318,-0.014732067,-0.060662407,-0.032798633,-0.019533437,0.045515127
"flux__fft_coefficient__attr_""abs""__coeff_99",-0.05789677,0.0031930297,0.043011103,-0.08267964,-0.0018582427,0.01668333,-0.06617441,0.036051776,-0.09168151,-0.055319577,0.04545494
"flux__fft_aggregated__aggtype_""skew""",0.038217142,-0.0248957,-0.12756638,-0.070635185,0.03755038,0.008323218,-0.030421391,-0.012106645,-0.008147247,0.09584429,0.04537076
"flux__linear_trend__attr_""intercept""",0.066100486,-0.13408591,0.01133941,0.019452736,-0.124117814,0.0055439426,-0.0750061,0.00045870832,-0.012492926,-0.005038852,0.04536369
flux__lempel_ziv_complexity__bins_100,0.034855038,0.046563335,0.2098638,0.08865049,-0.011705237,-0.013668539,0.010052744,-0.013732778,0.005640525,-0.016679239,0.045141175
"flux__fft_coefficient__attr_""abs""__coeff_60",-0.08925196,-0.055573065,0.033037752,-0.035765354,-0.012426658,-0.0037128401,0.015324612,-0.037903298,0.15918891,0.008175952,0.04503604
"flux__fft_coefficient__attr_""abs""__coeff_40",-0.096674636,-0.066084035,0.0034305311,0.047600873,0.008297016,-0.018205656,0.036557313,-0.061332293,-0.053999655,0.057599857,0.04497819
"flux__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",-0.005740807,0.002218895,-0.002052565,-9.142891e-05,0.10445787,-0.09220255,0.08987018,0.100764185,0.007383075,-0.04459256,0.04493741
"flux__fft_coefficient__attr_""abs""__coeff_44",-0.09030732,-0.061922573,0.01463314,0.013543972,0.017598204,-0.014854765,0.023262555,-0.081627585,-0.081695035,0.049752083,0.04491972
"flux__fft_coefficient__attr_""abs""__coeff_85",-0.08816564,-0.033899445,0.053708665,-0.0874663,-0.0048881224,0.008350772,-0.041045368,0.016142366,-0.04097184,-0.073900566,0.044853907
flux__abs_energy,0.06910183,-0.14268236,0.012655036,0.01790405,-0.037938055,-0.06979389,-0.015191485,0.07056309,-0.0039639105,-0.007930012,0.044772375
"flux__fft_coefficient__attr_""abs""__coeff_20",-0.089700274,-0.0131891165,-0.044001583,0.1330743,-0.0025348184,-0.0302573,-0.06629915,0.059855293,0.006869781,-0.0018269152,0.04476085
"flux__fft_coefficient__attr_""abs""__coeff_72",-0.09348898,-0.05281824,0.04729749,-0.06561316,-0.012769753,-0.003219039,0.00081564067,-0.009356592,0.10458692,-0.056832667,0.044679847
"flux__fft_coefficient__attr_""imag""__coeff_68",0.005015682,0.02510517,0.023886364,-0.045200124,-0.017385699,-0.029334778,-0.03138126,0.05052603,0.18573064,0.03305846,0.044662423
"flux__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",-0.05191564,0.09634671,0.014771603,-0.03215589,-0.029298903,-0.05367138,0.023401031,-0.006538064,0.05531333,0.0814587,0.044487126
"flux__fft_coefficient__attr_""abs""__coeff_51",-0.0890291,-0.05951719,0.022695113,-0.0021567757,0.0055442937,-0.016025737,0.030417154,-0.08483066,-0.035290074,0.09751658,0.044302266
"flux__fft_coefficient__attr_""abs""__coeff_92",-0.05363595,0.0127647,0.046026357,-0.085689716,0.0050654565,0.031120991,-0.039114244,0.051294707,-0.11389807,-0.0042453324,0.044285554
"flux__fft_coefficient__attr_""abs""__coeff_84",-0.0898105,-0.035637774,0.05468778,-0.08578784,-0.0033634985,0.005140571,-0.038107958,0.015431871,-0.034936346,-0.077643,0.044054713
"flux__fft_coefficient__attr_""abs""__coeff_15",-0.08910842,-0.002569166,-0.03968692,0.11355141,-0.038868126,0.012309983,0.01926547,0.10097779,-0.02107619,0.0006827055,0.043809615
"flux__fft_coefficient__attr_""abs""__coeff_5",-0.07342905,0.13495061,-0.014576801,-0.011026108,0.01997705,0.08705917,0.051288027,-0.017516403,-0.015093004,0.012015044,0.04369313
"flux__fft_coefficient__attr_""imag""__coeff_21",-0.019229963,-0.0061254883,-0.0087902,0.027677823,0.10208869,-0.09893599,-0.026634686,-0.015835742,-0.036057588,-0.09496885,0.0436345
flux__ratio_beyond_r_sigma__r_5,-0.041421082,-0.046210866,-0.14769952,-0.008755467,-0.0019532575,0.03400703,-0.0020100747,0.08377235,-0.00746095,-0.06239428,0.04356849
"flux__fft_coefficient__attr_""abs""__coeff_61",-0.08743239,-0.055536747,0.031937007,-0.032172818,-0.007313583,-0.012651715,0.014157466,-0.0401332,0.14760001,-0.0010637481,0.042999867
"flux__fft_coefficient__attr_""abs""__coeff_39",-0.09472946,-0.067491286,0.002274401,0.045170583,0.0067961416,-0.015928844,0.032459214,-0.061958306,-0.05406242,0.047749195,0.042861983
"flux__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",0.09050315,-0.1075679,-0.012215621,0.025298005,-0.08495051,0.013121516,-0.037842155,-0.019660262,0.001865659,-0.03558018,0.042860497
"flux__fft_coefficient__attr_""abs""__coeff_73",-0.0916723,-0.049922362,0.048024967,-0.07088362,-0.0090697,-0.0054559405,-0.0018238323,-0.0077844225,0.07931026,-0.06460566,0.042855307
"flux__fft_coefficient__attr_""abs""__coeff_17",-0.092097715,-0.018855765,-0.038712975,0.115146175,-0.030751655,0.0035034907,0.019136298,0.08275879,-0.01886814,0.0072078845,0.04270389
"flux__fft_coefficient__attr_""abs""__coeff_79",-0.085432224,-0.03910856,0.053122364,-0.08204577,-0.0094647715,-0.01556778,-0.021636916,0.032795154,0.029626517,-0.05792185,0.04267219
"flux__fft_coefficient__attr_""abs""__coeff_59",-0.087330066,-0.054868236,0.03185622,-0.032484565,-0.0032993553,-0.01111767,0.01111369,-0.049913805,0.1293179,0.012396529,0.0423698
"flux__fft_coefficient__attr_""imag""__coeff_41",-0.03737253,-0.034955606,0.001048695,0.02850808,0.035737477,-0.021325434,0.034153868,-0.099292584,-0.08448506,0.046644244,0.042352356
"flux__fft_coefficient__attr_""abs""__coeff_19",-0.09195159,-0.026270978,-0.037055027,0.11400168,-0.029943839,0.0043802024,0.016719682,0.063738465,-0.021814732,0.016781703,0.04226579
"flux__fft_coefficient__attr_""abs""__coeff_23",-0.09288629,-0.041878555,-0.029312855,0.10502576,-0.026956445,6.634507e-05,0.024885254,0.038297232,-0.01249209,0.050073523,0.042187437
"flux__fft_coefficient__attr_""imag""__coeff_18",0.020847127,0.010470403,0.01919726,-0.05361992,0.09709431,-0.08212366,-0.012787643,-0.08656986,-0.034447677,0.0042522377,0.042141005
"flux__fft_coefficient__attr_""abs""__coeff_22",-0.09256954,-0.025551213,-0.03970365,0.12878251,-0.0012431798,-0.030381002,-0.040789824,0.037178922,0.0016431984,0.023540499,0.042138353
"flux__fft_coefficient__attr_""abs""__coeff_58",-0.0931767,-0.061670367,0.03223976,-0.028883986,-0.011170592,-0.0027630348,0.021074012,-0.043166645,0.11147991,0.015545791,0.04211708
"flux__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",-0.088053994,0.0068229926,0.034561314,-0.039417785,0.03600795,-0.0021506487,-0.04875932,0.016579254,-0.077320404,0.070449546,0.042012323
"flux__fft_coefficient__attr_""imag""__coeff_23",-0.015990347,-0.01036064,-0.012309632,0.038024925,0.08627082,-0.087212525,-0.026391044,-0.030350156,-0.02979677,-0.08219885,0.041890573
"flux__fft_coefficient__attr_""abs""__coeff_83",-0.08648487,-0.037653096,0.05262542,-0.08538827,-0.005388767,0.0014001834,-0.033045772,0.017769251,-0.0155733405,-0.08263281,0.041796178
"flux__fft_coefficient__attr_""abs""__coeff_76",-0.089716226,-0.04194262,0.051413946,-0.07591409,-0.004021091,-0.024679093,-0.000135224,0.036078736,0.05650449,-0.03711667,0.041752215
"flux__fft_coefficient__attr_""abs""__coeff_82",-0.088059805,-0.04062328,0.051808346,-0.08441996,-0.0047396976,0.0017360847,-0.024970382,0.018979117,-0.0111168865,-0.09101939,0.041747294
"flux__fft_coefficient__attr_""abs""__coeff_50",-0.0903098,-0.0598279,0.023150964,-0.0030886617,0.002202975,-0.012872745,0.030982828,-0.07486381,-0.038713932,0.08129167,0.04173053
"flux__fft_coefficient__attr_""abs""__coeff_6",-0.07676805,0.13994607,-0.026788272,0.021991627,0.029831182,0.05434972,-0.03775787,-0.016660647,0.012369623,1.8077824e-05,0.041648116
"flux__fft_coefficient__attr_""abs""__coeff_21",-0.093259364,-0.03699541,-0.03182924,0.10701463,-0.026046308,-0.0005753346,0.022478772,0.051344506,-0.01715565,0.029319856,0.041601904
flux__lempel_ziv_complexity__bins_2,0.03738329,0.0059863483,0.14133155,0.048556365,0.021272069,-0.009068491,-0.023176976,-0.01126872,-0.015109218,0.101890065,0.041504305
"flux__fft_coefficient__attr_""abs""__coeff_81",-0.085601136,-0.03782155,0.05209677,-0.08207004,-0.008189774,-0.0059226523,-0.029104378,0.023885984,0.011944427,-0.07319865,0.040983535
"flux__fft_coefficient__attr_""abs""__coeff_78",-0.08508421,-0.040202342,0.049508184,-0.073968865,-0.009020843,-0.017130647,-0.008408249,0.033073265,0.041642465,-0.051666778,0.040970583
flux__ratio_beyond_r_sigma__r_2.5,-0.020334858,0.060318083,-0.10582744,-0.06244246,-0.02808625,-0.034341987,-0.0068111173,-0.0018529417,-0.03354883,0.055740196,0.040930413
"flux__fft_coefficient__attr_""imag""__coeff_9",-0.025913687,0.014631893,-0.018172257,0.04751864,0.09482401,-0.057138916,0.05569092,-0.015430511,-0.05324304,-0.026352668,0.040891655
"flux__fft_coefficient__attr_""abs""__coeff_77",-0.08326029,-0.041509714,0.049198404,-0.07167146,-0.008628246,-0.015690342,-0.009856111,0.019667627,0.054373704,-0.053477995,0.04073339
"flux__fft_coefficient__attr_""abs""__coeff_27",-0.0907763,-0.05365597,-0.020237908,0.089283474,-0.020107362,-0.0033018964,0.04192729,-0.0016210756,-0.008010233,0.07466604,0.040358752
"flux__fft_coefficient__attr_""imag""__coeff_24",0.013899359,0.0064606206,0.019021671,-0.04812233,0.0943237,-0.08710456,-0.017462822,-0.07885234,-0.025224824,0.012347682,0.040281992
flux__percentage_of_reoccurring_values_to_all_values,0.03597672,-0.035627495,-0.022045054,-0.010565517,0.10997829,0.10393192,-0.028298523,0.0023908007,0.018358408,0.035172954,0.040234573
flux__ratio_beyond_r_sigma__r_3,-0.036115836,0.047385324,-0.13813645,-0.060869735,-0.028461056,-0.015522672,-0.0075333463,0.023450939,-0.033661723,0.009856744,0.04009938
"flux__fft_coefficient__attr_""abs""__coeff_25",-0.09012087,-0.049203094,-0.024546275,0.09536082,-0.022509925,-0.0037591485,0.033213794,0.007888876,-0.0075983037,0.06503085,0.0399232
flux__ar_coefficient__coeff_2__k_10,0.04392914,0.10221192,0.03615812,-0.004374689,-0.05005144,-0.04009157,-0.026813002,0.05395554,-0.03899058,-0.0006489388,0.039722495
"flux__fft_coefficient__attr_""abs""__coeff_38",-0.094702944,-0.06799283,-9.400331e-05,0.050604634,0.0074379398,-0.01723379,0.03481319,-0.051752552,-0.035571855,0.035402622,0.039560635
"flux__fft_coefficient__attr_""abs""__coeff_75",-0.089557536,-0.04451901,0.050696217,-0.07409517,-0.0049155117,-0.017626539,0.0006576375,0.01564369,0.058359843,-0.039432403,0.039550357
"flux__fft_coefficient__attr_""abs""__coeff_74",-0.08858739,-0.044288248,0.047849853,-0.06856,-0.012364394,-0.0028251961,-0.002505107,0.0014270837,0.06916866,-0.05661793,0.039419383
"flux__fft_coefficient__attr_""abs""__coeff_24",-0.09229569,-0.03372773,-0.0330092,0.11528455,-0.002330243,-0.027502203,-0.027989997,0.026573438,0.001018609,0.03437166,0.039410334
"flux__fft_coefficient__attr_""abs""__coeff_57",-0.09118748,-0.057496272,0.0294764,-0.027034028,-0.0030503992,-0.009012227,0.018451883,-0.04750902,0.08779015,0.022684846,0.03936927
"flux__fft_coefficient__attr_""imag""__coeff_6",0.021865502,-0.049210284,0.019731611,-0.037167203,0.064690106,-0.07807169,0.030266285,-0.033372447,0.00080194185,-0.057680264,0.039285738
"flux__fft_coefficient__attr_""abs""__coeff_30",-0.094263814,-0.057450596,-0.024055723,0.1007032,-0.00892156,-0.016383024,0.022122396,-0.0125057995,0.0029208066,0.053185623,0.039251253
"flux__fft_coefficient__attr_""abs""__coeff_55",-0.09303004,-0.062038563,0.02784661,-0.017366817,-0.0030398758,-0.009190733,0.022732213,-0.061154004,0.045703232,0.050108153,0.039221026
"flux__fft_coefficient__attr_""abs""__coeff_37",-0.09376714,-0.06835404,-0.001294299,0.054411102,-0.0016628245,-0.01350513,0.034518737,-0.046565916,-0.031267025,0.04538631,0.03907325
"flux__fft_coefficient__attr_""imag""__coeff_15",-0.024374833,-0.0061133164,-0.011945583,0.04253884,0.096919745,-0.09736,0.004331287,-0.022516929,-0.047294915,-0.035148665,0.038854413
"flux__fft_coefficient__attr_""abs""__coeff_52",-0.09306554,-0.06059612,0.025409818,-0.007899127,0.0014841835,-0.00811166,0.030085836,-0.067353524,-0.017529504,0.07679891,0.03883342
"flux__fft_coefficient__attr_""abs""__coeff_56",-0.0910654,-0.06002539,0.03113804,-0.023632752,-0.010637604,-0.004377772,0.024852881,-0.03867302,0.061071504,0.040446185,0.038592055
"flux__fft_coefficient__attr_""imag""__coeff_13",-0.009273616,0.007887435,-0.010866139,0.017223662,0.11043917,-0.09777359,0.002724504,-0.029924655,-0.031780016,-0.067811824,0.038570456
"flux__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""",-0.016037898,0.035083685,-0.037424684,-0.023265662,-0.0977584,-0.090828866,0.0074121747,0.008450784,-0.032625325,0.03670036,0.03855878
"flux__fft_coefficient__attr_""imag""__coeff_11",-0.015473315,0.0047894735,-0.0058882977,0.012441742,0.099345684,-0.082357116,0.027573785,-0.055808555,-0.04887008,-0.032421917,0.038496997
"flux__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",-0.09452993,-0.0060169236,0.027333118,-0.020418406,0.0070221717,0.021740844,-0.05101776,0.021258535,-0.06767148,0.06785302,0.03848622
"flux__fft_coefficient__attr_""abs""__coeff_26",-0.09199964,-0.040554754,-0.02805296,0.108682185,-0.0056087486,-0.026183577,-0.006050482,0.015751308,0.0028461055,0.058520198,0.03842499
"flux__fft_coefficient__attr_""abs""__coeff_35",-0.092237316,-0.067277,-0.006777232,0.067974254,-0.008793837,-0.010571461,0.04050053,-0.027841233,-0.016926901,0.045305207,0.0384205
"flux__fft_coefficient__attr_""abs""__coeff_29",-0.09240716,-0.057422306,-0.01993094,0.087682664,-0.0148847755,-0.005051125,0.037917003,-0.003696433,-0.0067520165,0.053230036,0.03789745
"flux__fft_coefficient__attr_""abs""__coeff_80",-0.085353054,-0.039431084,0.04816653,-0.07361175,-0.00880862,-0.001924521,-0.01839787,0.018328499,0.009356522,-0.07422826,0.037760668
"flux__fft_coefficient__attr_""abs""__coeff_53",-0.08310347,-0.055592142,0.024708152,-0.007412349,-0.0017031006,-0.009983038,0.029430632,-0.07388598,0.005012574,0.08480963,0.037564106
"flux__fft_coefficient__attr_""abs""__coeff_68",-0.061804473,-0.032296475,0.035094403,-0.045441575,-0.0155429505,-0.013651197,-0.002112246,0.0003892589,0.15670095,-0.010602341,0.03736359
"flux__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",-0.0019195148,0.0011017373,-0.011137125,-0.007773841,0.08905575,-0.07155133,0.07082471,0.091360286,0.006994151,-0.020520316,0.03722388
"flux__fft_coefficient__attr_""imag""__coeff_72",0.00514908,0.022854315,0.022592267,-0.035578,-0.031071771,-0.015598929,-0.029704679,0.048906792,0.13723296,0.021397924,0.03700867
"flux__fft_coefficient__attr_""imag""__coeff_17",-0.010939258,-0.0036924067,-0.014560015,0.04019272,0.08344532,-0.09242356,-0.004456741,-0.052968536,-0.052408576,-0.013895384,0.03689825
"flux__fft_coefficient__attr_""abs""__coeff_32",-0.09531257,-0.062456038,-0.018696167,0.091761366,-0.0022333912,-0.016629092,0.02951595,-0.01609915,0.00037084782,0.03573027,0.036880486
"flux__fft_coefficient__attr_""imag""__coeff_39",-0.046278555,-0.044317886,0.008217443,0.01747947,0.031611588,-0.027739199,0.017560702,-0.09407405,-0.05957608,0.019912,0.036676697
"flux__fft_coefficient__attr_""abs""__coeff_36",-0.093960464,-0.061842088,-0.0072502047,0.063931085,0.0028434542,-0.021038378,0.025761737,-0.033355877,-0.021330027,0.03269753,0.03640108
"flux__fft_coefficient__attr_""imag""__coeff_29",-0.023877282,-0.01698256,-0.012861321,0.042592723,0.051672857,-0.051559646,-0.038706675,-0.029803455,-0.01776783,-0.077815086,0.03636394
"flux__fft_coefficient__attr_""imag""__coeff_58",0.015349076,0.031150583,0.016195755,-0.044880614,-0.008572811,-0.012178993,-0.045858312,0.025172478,0.15539512,0.0077339225,0.036248766
"flux__fft_coefficient__attr_""imag""__coeff_31",-0.024417955,-0.013197913,-0.005754537,0.026862375,0.06849218,-0.05872121,-0.03783082,-0.03371506,-0.026956448,-0.06618675,0.036213525
"flux__fft_coefficient__attr_""abs""__coeff_33",-0.094448,-0.065339886,-0.01352588,0.076315664,-0.0144227315,-0.007910017,0.03689004,-0.014934169,-0.0017133991,0.035135467,0.03606353
"flux__fft_aggregated__aggtype_""kurtosis""",0.015044761,-0.019244082,-0.11217059,-0.06563928,0.028007302,0.010621843,-0.027542468,0.0013782184,-0.0015042524,0.078263864,0.035941668
"flux__fft_coefficient__attr_""abs""__coeff_31",-0.09394174,-0.062943585,-0.01741407,0.08101197,-0.017672412,-0.0066869855,0.03352912,-0.005971711,-0.0017240188,0.038498797,0.03593944
"flux__fft_coefficient__attr_""abs""__coeff_28",-0.09274266,-0.048771758,-0.023230026,0.097393535,-0.0050958837,-0.024344059,0.0042130654,-0.001973445,0.009444919,0.051945604,0.035915494
"flux__fft_coefficient__attr_""abs""__coeff_54",-0.090074316,-0.05948582,0.0264071,-0.015843822,-0.0027450481,-0.007274424,0.032395303,-0.050397124,0.01598562,0.058542915,0.035915148
"flux__fft_coefficient__attr_""imag""__coeff_38",0.037505973,0.034632422,-0.0009519092,-0.0211006,0.01582781,-0.024443151,-0.07211363,0.03909558,0.05995092,-0.051902983,0.035752498
"flux__linear_trend__attr_""pvalue""",-0.010066588,0.003847704,-0.054187566,-0.057207324,0.05832049,0.09480332,-0.021660572,0.019195378,0.0014529481,0.03338484,0.035412673
flux__ar_coefficient__coeff_3__k_10,-0.034389064,-0.030342134,0.025193559,-0.02494882,-0.023200398,-0.0064866724,0.041236997,-0.068203405,0.013041758,-0.08706004,0.03541028
flux__symmetry_looking__r_0.05,0.026096195,-0.100609,-0.010723555,0.020688748,0.037618205,0.024576368,-0.016492812,0.08432582,0.006254669,0.01942514,0.034681052
"flux__fft_coefficient__attr_""abs""__coeff_34",-0.09308275,-0.06329765,-0.012105186,0.07410439,0.0033525317,-0.020483295,0.02425374,-0.023757648,-0.009483485,0.021631045,0.034555174
flux__quantile__q_0.4,0.029637802,-0.08965815,-0.0076722815,-0.0125470385,0.02024904,0.03987981,-0.04965338,0.023395302,-0.041181408,-0.030367367,0.034424163
flux__count_above_mean,-0.0501671,0.01560518,0.009682232,0.03624524,-0.030675538,0.01967937,0.04180455,0.00089080544,-0.0070102573,-0.13196278,0.034372307
"flux__fft_coefficient__attr_""imag""__coeff_49",-0.030632796,-0.033593133,0.0038577674,0.018398542,0.020640282,-0.0025052084,0.03454523,-0.09620746,-0.054285675,0.045372635,0.034003876
flux__skewness,0.055013772,0.019236667,0.02640293,-0.012327179,0.04029952,-0.0005505311,-0.044559754,0.0052971314,7.533024e-05,0.13459241,0.033835523
flux__energy_ratio_by_chunks__num_segments_10__segment_focus_6,-0.062374976,0.12817276,-0.013850066,-0.0053202696,0.066616446,0.012884351,0.0034086572,-0.0038069938,0.02931927,0.01098907,0.03367429
"flux__fft_coefficient__attr_""imag""__coeff_81",-0.019792898,-0.030397642,-0.013116218,0.033266414,0.044599455,0.0060843406,0.036564853,-0.10287987,-0.04445698,0.004903217,0.03360619
"flux__fft_coefficient__attr_""imag""__coeff_8",0.013698492,-0.034749106,0.007407289,-0.0070930305,0.08208604,-0.083616346,0.05469691,-0.004281596,-0.029530907,-0.017713362,0.033487312
"flux__fft_coefficient__attr_""imag""__coeff_52",0.028135391,0.043224014,0.0050547547,-0.030894715,0.0016369637,-0.00767981,-0.05701909,0.061524145,0.049311653,-0.045340266,0.032982085
"flux__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",-0.09011462,0.04190272,-0.0030918908,0.04154191,-0.020871183,0.036841273,-0.007946842,0.045217752,-0.028196253,0.009799548,0.0325524
"flux__fft_coefficient__attr_""imag""__coeff_77",-0.019520164,-0.032455694,-0.014449742,0.030667434,0.032641746,0.0106994705,0.017154163,-0.087839216,-0.059509102,-0.015580875,0.03205176
"flux__fft_coefficient__attr_""imag""__coeff_4",0.026223283,-0.04136739,0.013240091,-0.025364863,0.0411658,-0.0584323,0.036390524,-0.01417476,-0.0251996,-0.032379188,0.031393778
flux__has_duplicate,0.026274163,-0.082479596,-5.3992928e-05,-0.02523941,0.047730044,0.04374962,-0.020475127,0.028228998,-0.02409296,-0.009033289,0.030735722
flux__minimum,0.10817631,-0.0774343,0.0129972035,-0.01493039,-0.015770108,-0.053646453,-0.004049745,0.012930106,0.003478934,-0.003252379,0.030666595
flux__large_standard_deviation__r_0.05,-0.0056687053,0.018039202,0.07102502,0.04426433,-0.04573615,-0.045499485,0.020289013,-0.012171822,-0.020869633,-0.019797724,0.030336108
"flux__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",0.10556508,-0.072523795,0.009683737,-0.027287282,-0.062427968,0.009074092,0.0051253787,-0.0052589,0.00057236943,-0.004978462,0.030249706
"flux__agg_autocorrelation__f_agg_""var""__maxlag_40",-0.008365578,0.029498307,-0.0022348086,0.011667501,-0.06284459,-0.06649227,-0.0064765336,0.03413086,-0.029973162,0.049984448,0.030166805
"flux__fft_coefficient__attr_""angle""__coeff_16",0.011126874,-0.008716078,0.017286867,-0.029126363,0.03359456,-0.032665342,-0.023875363,-0.046237648,-0.023234576,0.07272815,0.029859181
"flux__fft_coefficient__attr_""angle""__coeff_12",0.014520044,-0.016654568,0.02315626,-0.028131105,0.04155579,-0.035554525,-0.016763274,-0.03631533,-0.013366808,0.06074813,0.02867658
"flux__fft_coefficient__attr_""imag""__coeff_93",-0.008748668,-0.0153661175,-0.018137878,0.034680657,0.019914716,0.0029602926,0.0171068,-0.07658246,0.06065769,-0.03158314,0.02857384
"flux__fft_coefficient__attr_""imag""__coeff_7",-0.019583596,0.026986914,-0.009352164,0.0067908056,0.06895754,-0.043371126,0.045537263,-0.01307265,-0.001164552,-0.049565814,0.028438244
"flux__fft_coefficient__attr_""angle""__coeff_18",0.013430337,-0.0050984994,0.015282075,-0.02660945,0.034888986,-0.03779703,-0.019734344,-0.039636485,-0.01410503,0.07732662,0.028390884
"flux__fft_coefficient__attr_""imag""__coeff_88",0.018173119,0.02057171,0.009256529,-0.019205809,-0.029141689,-0.021350756,-0.05354918,0.078354046,-0.013326257,0.02054431,0.02834734
"flux__fft_coefficient__attr_""angle""__coeff_10",0.013203855,-0.026817001,0.017780289,-0.02264096,0.050651137,-0.029613977,-0.015099836,-0.023297029,-0.0071203685,0.0704916,0.027671605
"flux__fft_coefficient__attr_""angle""__coeff_20",0.011142754,-0.0053140465,0.019196667,-0.030093614,0.03425184,-0.03609493,-0.019862192,-0.031583194,-0.014046413,0.07495913,0.027654478
"flux__fft_coefficient__attr_""imag""__coeff_5",-0.010304792,0.026107272,-0.0012061634,-0.017126018,0.05611637,-0.021081446,0.035442874,-0.06579468,0.0014644235,-0.038287416,0.027293146
"flux__fft_coefficient__attr_""imag""__coeff_37",-0.037917867,-0.028465938,0.0031715464,0.022042513,0.018581668,-0.025369389,-8.5793574e-05,-0.0617806,-0.052439462,0.019824965,0.026967976
flux__ar_coefficient__coeff_4__k_10,0.024527514,0.035663385,0.046901923,0.0018755489,-0.027405053,-0.037049603,0.014854123,0.014557798,-0.03408004,0.030421305,0.026733631
"flux__fft_coefficient__attr_""angle""__coeff_24",0.01402166,-0.0012865013,0.01970966,-0.02519797,0.03264019,-0.034411263,-0.024673311,-0.032205682,-0.01680687,0.06279079,0.02637439
"flux__fft_coefficient__attr_""angle""__coeff_22",0.011749128,-0.0003581376,0.017552316,-0.027758507,0.03231312,-0.037802134,-0.019789146,-0.026561433,-0.018638575,0.06523499,0.02577575
"flux__fft_coefficient__attr_""angle""__coeff_8",0.015169856,-0.02870227,0.012768319,-0.016943922,0.040542457,-0.034958165,-0.0139246965,-0.02193993,-0.013850433,0.05807813,0.02568782
"flux__fft_coefficient__attr_""angle""__coeff_6",0.015030595,-0.03306042,0.008926048,-0.017544601,0.04651182,-0.034789335,-0.015588674,-0.014583289,-0.013365499,0.055383828,0.025478411
"flux__fft_coefficient__attr_""imag""__coeff_3",-0.00897475,0.032461725,-0.014516041,0.011683842,0.06767121,-0.009616925,0.042845804,-0.010414677,-0.01291629,-0.041084863,0.025218612
flux__median,-0.013585429,0.05205009,-0.009803709,-0.0028136135,0.01027928,0.014641651,-0.046173632,-0.04566843,0.028978499,0.02571717,0.024971152
"flux__fft_coefficient__attr_""imag""__coeff_84",0.02265502,0.021791672,0.0009594689,-0.010168218,-0.031295776,-0.01123872,-0.015398434,0.09774661,0.034116637,5.4272637e-06,0.024537597
"flux__fft_coefficient__attr_""angle""__coeff_4",0.017953811,-0.028839953,0.010115159,-0.012782321,0.049212065,-0.031005507,-0.008899889,-0.005527157,-0.012513672,0.046928182,0.02237777
"flux__fft_coefficient__attr_""angle""__coeff_34",0.012816264,0.009053755,0.015566414,-0.016898619,0.012936186,-0.029116113,-0.020206274,-0.017194195,-0.014127975,0.07003189,0.021794766
"flux__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",-0.058698773,-0.028335078,0.02109037,-0.01728614,0.004899886,0.023988023,-0.004222421,-0.0122615965,-0.02539915,0.020191496,0.021637294
"flux__fft_coefficient__attr_""real""__coeff_92",0.007825424,0.00432011,0.0132474005,-0.01980556,-0.013962631,-0.020913696,-0.026857562,0.03896946,-0.052024547,0.012883592,0.021080997
flux__ar_coefficient__coeff_5__k_10,-0.015537841,-0.012940828,0.036326583,-0.0055513335,-0.022155952,-0.011536474,-0.0068311873,-0.0026623488,-0.03010836,-0.06300393,0.020665482
"flux__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",-0.05917232,-0.011667531,0.017567942,-0.009655038,-5.1891366e-05,0.033335704,-0.005809835,0.0045381524,-0.0386428,0.023866257,0.020430746
"flux__fft_coefficient__attr_""angle""__coeff_38",0.013188871,0.013274769,0.01455506,-0.01556701,0.008749995,-0.02185366,-0.029863745,-0.0047248886,0.0020194922,0.05289411,0.01766916
