,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Global_Importance
"flux__fft_coefficient__attr_""real""__coeff_11",-0.07932572,0.049580295,-0.033145025,0.07376194,-0.03432818,0.072260804,0.053785674,0.1104716,-0.048805147,-0.03660654,0.059207093
"flux__fft_coefficient__attr_""abs""__coeff_96",-0.07470526,-0.009123704,0.05563472,-0.10236799,-0.0010181334,0.031802095,-0.06058191,0.044861127,-0.13574265,-0.074011505,0.058984913
"flux__fft_coefficient__attr_""abs""__coeff_91",-0.07741227,-0.012027525,0.064963594,-0.11438808,0.0019163312,0.014214161,-0.071182504,0.05159594,-0.13792524,-0.043336537,0.058896206
flux__binned_entropy__max_bins_10,0.044761445,0.04786639,0.18300687,0.060335442,-0.050489075,-0.08580153,0.002281601,-0.041243687,-0.009949913,0.061113387,0.058684934
flux__mean_n_absolute_max__number_of_maxima_7,-0.05931621,0.09043348,0.03160796,-0.03343819,-0.047589928,-0.086651504,-0.009382507,0.04996864,0.05458838,0.11580418,0.0578781
"flux__fft_coefficient__attr_""abs""__coeff_90",-0.0786682,-0.017332362,0.06325143,-0.11078369,-0.00039763429,0.01781233,-0.05744678,0.04613362,-0.13435112,-0.049907096,0.057608426
"flux__fft_coefficient__attr_""abs""__coeff_93",-0.06923996,-0.009481141,0.059939682,-0.10730334,-0.0023594946,0.014850903,-0.07298298,0.053110864,-0.14279288,-0.043845482,0.05759067
flux__permutation_entropy__dimension_7__tau_1,-0.0062395507,0.020538587,0.19004646,0.12300638,0.016654804,0.056058615,0.030015465,0.0016777322,0.015018894,-0.11629852,0.057555497
flux__value_count__value_1,0.010176909,-0.03404078,-0.17773671,-0.13185517,-0.0022472346,-0.03966559,-0.039395776,0.008135694,-0.022067145,0.10939813,0.05747192
flux__number_peaks__n_5,0.008090418,-0.003035351,0.1773251,0.1145716,0.045159426,0.08580966,0.014599521,0.02731976,0.022395806,-0.073148854,0.057145555
flux__ratio_beyond_r_sigma__r_1.5,0.046843827,0.04146465,0.12651445,0.028997386,-0.033285756,-0.0808719,-0.011149953,-0.05024586,-0.02864178,0.11592188,0.056393743
flux__spkt_welch_density__coeff_2,-0.04459981,0.14425854,-0.011912503,-0.029127946,0.059568148,0.103978135,0.047420356,-0.073932,0.0087730875,0.03925928,0.05628298
"flux__fft_coefficient__attr_""abs""__coeff_89",-0.07848595,-0.015509474,0.062316503,-0.10983292,-0.00085500383,0.009262151,-0.069204584,0.053071164,-0.111534685,-0.052397694,0.056247007
