time,flux
120.53931252173061,1.003106
120.55974717133358,1.0025631
120.5801817209358,1.0024427
120.60061647053226,1.0026379
120.62105112013523,1.0024868
120.64148566950462,1.0027544
120.6619203189839,1.0025276
120.68235506835481,1.0025036
120.70278961760778,1.0025722
120.72322426685423,1.002432
120.74365901610872,1.0022014
120.76409356524528,1.0023601
120.78452821437531,1.0020936
120.80496286339621,1.0020541
120.82539751241711,1.0019317
120.84583216143074,1.0017682
120.86626681033522,1.001691
120.88670155912405,1.001592
120.9071361080205,1.0014099
120.92757075669215,1.0013564
120.9480055054737,1.0012681
120.96844005402818,1.0011116
120.98887470269983,1.0008818
121.00930925125431,1.000712
121.02974399968662,1.0006453
121.05017864812544,1.0005836
121.07061329656426,1.0005248
121.09104794487939,1.0003703
121.1114825932018,1.0000913
121.13191724140779,0.99999523
121.15235178948933,0.9998571
121.17278653769608,0.9995414
121.19322118578566,0.9996339
121.21365573375078,0.99909496
121.2340904817247,0.9990148
121.25452512969787,0.998824
121.27495967754658,0.9987153
121.2953943252869,0.99853563
121.315829073028,0.9983562
121.33626372076105,0.99813503
121.3566982683842,0.99798733
121.37713301600888,0.9979435
121.39756766350911,0.99764997
121.41800221101585,0.9976274
121.43843685840693,0.99739146
121.4588716057915,0.9970956
121.47930615306541,0.9970738
121.49974080034008,0.99689335
121.52017544760747,0.9967042
121.54061019476649,0.99657583
121.56104484180833,0.9962777
121.58147938884213,0.9961365
121.60191413588473,0.99590653
121.62234878281015,0.9958487
121.64278332961112,0.9956878
121.66321797653654,0.99549675
121.6836527232299,0.99536365
121.70408726991445,0.9951917
121.72452191660705,0.9949642
121.74495666318398,0.9949153
121.76539120975212,0.9946365
121.78582585621189,0.9946507
121.80626050267165,0.994273
121.82669514900772,0.99413097
121.84712979535107,0.99397814
121.867564441578,0.9940077
121.88799908779765,0.9936743
121.90843373390817,0.99357665
121.92886838001868,0.99348676
121.94930292600475,0.9933529
121.96973767199961,0.9931897
121.9901723178773,0.9929956
122.01060686375422,0.99269027
122.03104160962539,0.99264145
122.05147625527025,0.99249625
122.07191090102424,0.99241984
122.09234544655192,0.99227697
