phase,binned_flux,standardized_flux
0.025,243692.40500000003,1.0056883414597027
0.026903807615230462,243713.61,1.0057758518656204
0.028807615230460923,243699.25,1.0057165899260314
0.030711422845691384,243733.44,1.0058576878170162
0.032615230460921844,243696.92,1.0057069743049145
0.03451903807615231,243737.46000000002,1.0058742778586005
0.036422845691382766,243706.91,1.0057482017963135
0.03832665330661322,243718.58,1.0057963624394195
0.04023046092184369,243702.655,1.0057306419388656
0.04213426853707415,243692.735,1.0056897033287877
0.04403807615230461,243675.47,1.0056184528143726
0.045941883767535066,243704.73,1.0057392052065988
0.04784569138276553,243701.085,1.0057241627435207
0.049749498997995995,243696.555,1.0057054679951685
0.05165330661322645,243675.44,1.0056183290080922
0.05355711422845691,243748.67,1.005920540138739
0.05546092184368737,243952.40000000002,1.006761308589465
0.05736472945891783,243738.38,1.005878074584535
0.059268537074148295,243706.5,1.005746509777147
0.06117234468937876,243724.865,1.0058222998551796
0.06307615230460922,243730.69,1.0058463389079724
0.06497995991983968,243777.22,1.006038362448994
0.06688376753507014,243729.08000000002,1.005839694637587
0.0687875751503006,243708.25,1.0057537318101748
0.07069138276553105,243676.59,1.0056230749155104
0.07259519038076151,243693.45,1.0056926540451392
0.07449899799599198,243713.625,1.0057759137687605
0.07640280561122245,240446.0,0.9922908305271951
0.07830661322645291,243724.09,1.0058191015262672
0.08021042084168337,243721.49,1.005808371648626
0.08211422845691382,243718.91,1.0057977243085048
0.08401803607214428,243706.77,1.0057476240336714
0.08592184368737474,243674.615,1.005614924335379
0.0878256513026052,243657.5,1.0055442928523664
0.08972945891783565,240454.15000000002,0.9923244645667251
0.09163326653306614,240455.12,0.9923284676364604
0.0935370741482966,242024.68,0.9988058471560294
0.09544088176352705,243534.98,1.0050386680028942
0.09734468937875751,240423.89,0.992199585298483
0.09924849699398797,240372.02,0.9919855242395363
0.10115230460921842,240356.75,0.991922506842773
0.10305611222444888,240335.31,0.9918340266209915
0.10495991983967934,240313.08,0.9917422861671572
0.10686372745490982,240298.89,0.9916837257964912
0.10876753507014028,240342.97,0.9918656384912735
0.11067134268537074,240335.25,0.9918337790084305
0.1125751503006012,240346.31,0.9918794222571667
0.11447895791583165,240367.82,0.9919681913602695
0.11638276553106211,240349.69,0.9918933710981006
0.11828657314629257,240393.49,0.9920741282675984
0.12019038076152302,240356.79499999998,0.9919226925521938
0.12209418837675351,240367.11,0.9919652612782981
0.12399799599198397,240437.55,0.9922559584248605
0.12590180360721442,243648.55,1.0055073573120237
0.12780561122244488,243681.94,1.0056451537021958
0.12970941883767534,243694.53999999998,1.0056971523399965
0.1316132264529058,243652.485,1.0055235965691462
0.13351703406813625,243718.28,1.0057951243766148
0.1354208416833667,243719.69,1.0058009432717971
0.1373246492985972,243703.45,1.0057339228052984
0.13922845691382765,243659.91,1.0055542386235647
0.1411322645290581,243685.56,1.0056600929933734
0.14303607214428857,243762.41,1.005977243415198
0.14493987975951902,244839.4,1.0104218476155984
0.14684368737474948,243705.29,1.0057415162571677
0.14874749498997994,243713.93,1.0057771724659454
0.1506513026052104,243700.58,1.0057220786711327
0.15255511022044085,243719.96000000002,1.0058020575283215
0.1544589178356713,243699.14,1.0057161359696698
0.1563627254509018,243730.135,1.0058440484917837
0.15826653306613225,243731.135,1.0058481753677995
0.1601703406813627,244778.28,1.0101696129535045
0.16207414829659317,244765.16499999998,1.0101154889745554
0.16397795591182363,244269.515,1.008070002877258
0.16588176352705408,244745.42,1.010034003807621
0.16778557114228454,243745.03,1.005905518310041
0.16968937875751502,243755.77,1.005949840958452
0.17159318637274548,243869.41,1.0064188191489027
0.17349699398797594,244707.91,1.0098792046882632
0.1754008016032064,244728.55,1.009964383409232
0.17730460921843685,244744.11,1.0100285976000398
0.1792084168336673,243622.5,1.0053998521918086
0.18111222444889777,243572.09,1.0051918163718454
0.18301603206412823,243588.88,1.0052611066201529
0.18491983967935868,243580.86,1.005228009074505
0.18682364729458917,243575.44,1.0052056414064987
0.18872745490981963,244348.675,1.0083966863826792
0.19063126252505008,245090.19,1.0114568268516344
0.19253507014028054,243513.2,1.004948784643267
0.194438877755511,243531.735,1.0050252762902223
0.19634268537074145,243527.69,1.005008583076738
0.1982464929859719,243549.38,1.0050980950175235
0.2001503006012024,243524.77500000002,1.0049965532331515
0.20205410821643285,240331.16,0.9918169000855254
0.2039579158316633,243568.83,1.0051783627560333
0.20586172344689377,243577.83,1.0052155046401767
0.20776553106212423,243613.58,1.0053630404577465
0.20966933867735468,243636.47,1.0054575046497511
0.21157314629258514,240364.62,0.9919549853570184
0.2134769539078156,240446.295,0.9922920479556199
0.21538076152304605,240387.105,0.9920477781642368
0.21728456913827654,240428.98,0.992220591097404
0.219188376753507,240455.54,0.9923302009243872
0.22109218436873745,240438.27,0.9922589297755919
0.2229959919839679,240557.78,0.9927521327282562
0.22489979959919837,240497.88,0.9925049328549018
0.22680360721442883,240531.72,0.992644586339281
0.22870741482965928,240592.38,0.9928949226384076
0.23061122244488977,240518.84,0.9925914321761957
0.23251503006012023,240597.775,0.9929171871345135
0.23441883767535068,240578.48,0.9928375590617861
0.23632264529058114,240553.22,0.9927333141736235
0.2382264529058116,240571.88,0.9928103216800809
0.24013026052104205,240538.25,0.9926715348396651
0.2420340681362725,240402.04499999998,0.9921094336919147
0.24393787575150297,240414.67,0.992161535501616
0.24584168336673343,240585.81,0.9928678090629829
