phase,raw_flux
2.8728023495183663e-05,243514.88
5.632077088080223e-05,240406.72
8.355355267042341e-05,240360.41
0.000128592517214976,243677.44
0.00015130150060826963,226734.81
0.0001620035546601173,223671.14
0.00019577455770303231,245539.75
0.00019680426697669373,244194.39
0.00019707077996500288,245468.06
0.0002088094657111128,244567.02
0.00021123577227655232,226613.64
0.00022653777129377772,247862.19
0.0002267887088489573,247872.33
0.00025082160416722843,221567.03
0.00025445068038898455,250897.08
0.0002575103879500773,238058.25
0.0002624495312666397,242274.62
0.00026323349479917546,231451.12
0.0002685897136345261,244689.36
0.0002833033073574853,253753.58
0.0002841980295347213,253597.95
0.0003078865346912707,245065.22
0.0003160757519928836,242177.53
0.00033700740525333117,240464.94
0.0003823682621106883,243422.34
0.0004099627401021877,240383.72
0.00043719206068004723,240357.38
0.0004822344864354733,243704.98
0.0005049382780129008,226735.28
0.0005156316790504434,223646.09
0.00054938710665553,245538.7
0.00055044277498851,244196.88
0.0005506764065046355,245461.64
0.0005624272064750357,244552.81
0.0005648552436436916,226632.58
0.0005801485896448355,247836.61
0.0005803943353885899,247907.95
0.0006044358837247188,221633.28
0.0006080545763218481,250862.56
0.0006111367817354108,238048.77
0.0006160672720341154,242270.67
0.0006168564273763,231495.39
0.0006222247604412701,244702.86
0.0006369123951035505,253780.36
0.0006378053866775701,253635.58
0.0006615111978724997,245082.31
0.0006697125293975148,242237.39
0.0006906493744729403,240506.58
0.0007360067701229767,243511.89
0.0007636064399232367,240356.44
0.0007908340298996563,240385.81
0.0008358747250500898,243701.19
0.0008585733248214211,226700.27
0.0008692598034372168,223638.59
0.0009029996556080278,245507.97
0.000904077821792882,244254.16
0.000904282033044268,245518.88
0.000916048408448944,244611.64
0.0009184764456175998,226626.81
0.0009337594079958933,247870.33
0.0009340016925314387,247944.56
0.0009580484326789929,221664.47
0.0009616602028614807,250896.48
0.0009647649061221841,238042.16
0.0009696815515916057,242278.78
0.0009704776293499862,231439.45
0.000975859807248014,244700.11
0.000990518021643183,253825.44
0.000991412743820419,253668.86
0.0010151358610537287,245021.33
0.0010233475762042588,242183.61
0.0010442896130911095,240458.86
0.0010896487393416976,243469.89
0.0011172501397478385,240367.44
0.0011444759991192655,240453.86
0.001189516694270587,243723.53
0.0012122101022260523,226740.92
0.0012228844666211103,223622.38
0.0012566104739590855,245539.38
0.0012577163298046984,244317.45
0.0012578893901853405,245462.8
0.001269664418611427,244634.64
0.0012720941863850754,226616.7
0.0012873684957419584,247861.73
0.0012876107802775039,247872.75
0.0013116592510300507,221656.16
0.0013152692906093222,250811.8
0.0013183912999075176,238045.62
0.0013232992923590814,242301.55
0.0013241005619273327,231461.38
0.0013294983152576378,244712.62
0.0013441271093905804,253864.62
0.0013450218315673723,253629.22
0.0013687605242349576,245113.12
0.0013769808924024574,242221.22
0.0013979315823107186,240477.14
0.0014432889779580904,243501.45
0.0014708903783642313,240342.19
0.0014981145071359947,240411.33
0.0015431569328860917,243635.02
0.0015658451490327963,226737.28
0.0015765143216128763,223651.36
0.0016102212923101433,245524.94
0.0016113548378165147,244218.16
0.001611495016724973,245475.34
0.0016232838899803426,244561.36
0.001625713657753991,226674.42
0.0016409793140930162,247891.92
0.0016412146762103674,247901.33
0.0016652735305893174,221645.52
0.0016688749171489548,250809.95
0.0016720194242978437,238002.17
0.001676917033121228,242304.44
0.0016777200332971365,231469.38
0.0016831350926658217,244729.19
0.00169773792774075,253775.05
0.0016986291887102212,253656.52
0.0017223851874152984,245066.34
0.0017306159392056486,242229.23
0.001751573551526775,240498.95
0.0017969257553653861,243552.09
0.001824535808790273,240409.52
0.0018517547457506112,240455.92
0.0018967989021048126,243682.11
0.0019194801958359875,226773.12
0.0019301407153982097,223619.91
0.001963832110661201,245508.88
0.001964991615224609,244272.42
0.0019651006432646057,245496.42
0.001976903361352811,244625.53
0.001979334859726123,226657.06
0.0019945884018390814,247907.38
0.0019948220333549926,247891.22
0.002018886079541815,221639.62
0.0020224788130818183,250814.05
0.002025647548684617,238029.05
0.002030531312682271,242345.69
0.002031342965874483,231419.28
0.0020367718700740056,244706.78
0.002051345284883599,253817.14
0.0020522348152498537,253618.84
0.0020760098505974156,245054.22
0.002084250986014169,242225.53
0.002105213790144944,240468.62
0.0021505677245849952,243493.44
0.002178177778009882,240341.25
0.0022053949843652276,240406.86
0.00225044087132531,243669.52
0.0022731169732441714,226746.2
0.0022837653785785506,223666.95
0.002317442929012259,245537.25
0.002318628392632703,244296.36
0.002318708000409231,245451.17
0.002330521102116734,244629.72
0.0023329526004935985,226716.06
0.002348199220190139,247870.91
0.002348431121102834,247917.28
0.0023724986284978655,221646.3
0.0023760861702264435,250810.19
0.0023792722118685106,238060.75
0.002384149053446194,242286.55
0.0023849658984518296,231464.45
0.002390406916877197,244714.34
0.0024049526420264478,253790.2
0.002405843902995919,253616.31
0.0024296345137786446,245066.56
0.0024378843022123675,242271.33
0.0024588557593610005,240456.28
0.0025042062325963954,243590.34
0.0025318214778327075,240368.94
0.002559035222979844,240430.58
0.002604082840544919,243638.86
0.002626752020049139,226683.97
0.0026373952335703166,223699.7
0.0026710537473633167,245518.81
0.002672265170040797,244242.31
0.0026723136269453107,245471.28
0.0026841388428842095,244689.7
0.002686572071862514,226695.19
0.002701808307939757,247875.33
0.0027020367476424667,247900.39
0.0027261111774503632,221618.41
0.0027296917967642997,250844.33
0.002732900336255284,237979.98
0.0027385853698218554,231456.05
0.0027440436942853808,244658.28
0.002758561729773401,253776.67
0.002759452990742872,253622.91
0.0027832591769598736,245048.11
0.0027915210796205514,242218.72
0.0028124977285806096,240430.5
0.0028578464712127882,243539.53
0.0028854634470523166,240352.89
0.0029126754615944606,240436.86
0.0029577230791595355,243698.52
0.0029803870668523302,226708.06
0.00299102162735565,223763.61
0.0030246662963158144,245534.75
0.0030259036780526135,244281.73
0.0030259192534849433,245452.34
0.0030377600448581177,244740.98
0.0030401932738364223,226701.84
0.0030554173956822694,247874.66
0.0030556441047853156,247871.66
0.00307972545700963,221629.5
0.0030832974233039323,250812.08
0.00308652846064561,238083.41
0.0030913828043743763,242309.03
0.0030922100330028623,231502.64
0.0030976822022985573,244722.56
0.0031121708175203544,253809.91
0.0031130586172825048,253589.41
0.003136885570745207,245080.36
0.0031451561264237426,242216.3
0.003166136236597339,240406.34
0.0032114884404323973,243534.89
0.0032391054162719257,240357.11
0.003266315700209077,240395.11
0.0033113650483800328,243652.36
0.003334023844260514,226685.75
0.0033446514823509688,223754.36
0.003378278845271865,245548.66
0.0033795266106295685,245428.08
0.0033795421860644296,244251.16
0.0033913777856255933,244690.59
0.003393811014603898,226724.31
0.0034090282140333272,247837.09
0.003409251461926388,247896.64
0.0034333397365688967,221647.0
0.0034369030498453412,250862.8
0.003440153123825951,238055.16
0.0034449988145368593,242310.44
0.0034458312349765485,231503.84
0.0034513172491017485,244737.52
0.003465776444059099,253820.34
0.00346666770502857,253645.62
0.0034905085033223315,245080.42
0.003498791173226934,242299.5
0.003519779936418388,240392.2
0.003565128679047902,243528.58
0.0035927508466997438,240377.48
0.003619957669428686,240413.78
0.0036650070175987537,243713.8
0.0036876588910637054,226736.41
0.0036982761455313096,223754.52
0.00373188793301793,245519.19
0.003733132237169201,245421.8
0.0037331685798492067,244266.42
0.003744997256990956,244702.47
0.00374743221657603,226704.33
0.003762637301782945,247856.2
0.003762858819069237,247869.14
0.003786950554918178,221658.66
0.003790508676384974,250847.2
0.003793782978817717,238069.23
0.0037986130940979024,242267.94
