period,epoch,quarters_used,original_points,final_points,is_folded,data_reduction_ratio,mean,std,variance,median,min,max,range,skewness,kurtosis,percentile_5,percentile_10,percentile_25,percentile_75,percentile_90,percentile_95,percentile_99,iqr,cv,mad,trimmed_mean_10,trimmed_std_10,acf_lag_1,acf_lag_2,acf_lag_3,acf_lag_4,acf_lag_5,acf_lag_6,acf_lag_7,acf_lag_8,acf_lag_9,acf_lag_10,acf_lag_11,acf_lag_12,acf_lag_13,acf_lag_14,acf_lag_15,acf_lag_16,acf_lag_17,acf_lag_18,acf_lag_19,acf_lag_20,fft_power_1,fft_freq_1,fft_power_2,fft_freq_2,fft_power_3,fft_freq_3,fft_power_4,fft_freq_4,fft_power_5,fft_freq_5,fft_power_6,fft_freq_6,fft_power_7,fft_freq_7,fft_power_8,fft_freq_8,fft_power_9,fft_freq_9,fft_power_10,fft_freq_10,fft_mean_power,fft_std_power,fft_max_power,ls_power_1,ls_freq_1,ls_period_1,ls_power_2,ls_freq_2,ls_period_2,ls_power_3,ls_freq_3,ls_period_3,ls_power_4,ls_freq_4,ls_period_4,ls_power_5,ls_freq_5,ls_period_5,ls_power_6,ls_freq_6,ls_period_6,ls_power_7,ls_freq_7,ls_period_7,ls_power_8,ls_freq_8,ls_period_8,ls_power_9,ls_freq_9,ls_period_9,ls_power_10,ls_freq_10,ls_period_10,ls_power_11,ls_freq_11,ls_period_11,ls_power_12,ls_freq_12,ls_period_12,ls_power_13,ls_freq_13,ls_period_13,ls_power_14,ls_freq_14,ls_period_14,ls_power_15,ls_freq_15,ls_period_15,ls_power_16,ls_freq_16,ls_period_16,ls_power_17,ls_freq_17,ls_period_17,ls_power_18,ls_freq_18,ls_period_18,ls_power_19,ls_freq_19,ls_period_19,ls_power_20,ls_freq_20,ls_period_20,ls_dominant_freq,ls_dominant_power,n_dips,max_dip_depth,mean_dip_depth,std_dip_depth,max_dip_duration,mean_dip_duration,max_dip_width,mean_dip_width,dip_snr,dip_symmetry,mean_derivative,max_derivative,std_derivative,mean_second_derivative,max_second_derivative,linear_slope,linear_r2,linear_stderr,area_below_median,baseline_std,baseline_range,rms,white_noise_estimate,flux_stability,max_consecutive_diff,n_outliers_3sigma,n_outliers_5sigma,mean_flux_err,median_flux_err,std_flux_err,min_flux_err,max_flux_err,weighted_mean_flux,snr_mean,snr_max,LABEL
13.48457668,136.61808,17,59667,3884,1,15.362255406797116,-0.14353766,2.068099,4.277034,0.0,-16.406782,4.9973283,21.40411,-2.9074702,16.502327,-2.5973237,-1.9204109,-0.9822063,1.0066247,1.8478271,2.4781072,3.4841642,1.988831,-14.408059,1.0,0.00084420183,0.9827251,0.50819635,0.504939,0.53207266,0.5001909,0.5007058,0.56233627,0.48062798,0.47135204,0.48075512,0.45164642,0.45353463,0.48473257,0.41050917,0.410611,0.40697396,0.38225842,0.3867879,0.41025153,0.34559184,0.34487793,896624.75,0.5184315294027328,713679.7,2.295911058783531,704031.7,1.3331096470355988,684000.9,0.8146781176328659,665524.75,0.7406164705753326,579787.4,1.407171294093132,570717.25,0.9628014117479324,556671.75,1.2590479999780655,542516.25,0.5924931764602661,471146.5,1.1849863529205322,16620.479,60438.074,896624.75,0.0299053090379076,0.5394694694694695,1.8536730187593933,0.0298761416774645,0.5444644644644645,1.8366671569348432,0.029699879139445,0.5344744744744745,1.870996741206877,0.0295867214903366,0.5494594594594595,1.819970486965076,0.0292823508609275,0.5294794794794795,1.8886473201625864,0.0290128536369231,0.5544544544544545,1.8035746524643437,0.0286694782800116,0.5244844844844845,1.9066340942056643,0.0281383402493324,0.5594494494494495,1.787471595483905,0.0278720693734804,0.5194894894894895,1.924966761084456,0.0269627978827784,0.5644444444444445,1.7716535433070864,0.0268977628529311,0.5144944944944946,1.943655395151562,0.025756811807398,0.5094994994994995,1.962710465824476,0.025508816956624,0.5694394394394395,1.756112995939318,0.0244694528958001,0.5045045045045045,1.9821428571428572,0.0243541688242114,0.7842242242242242,1.27514551210048,0.0242798293886007,0.7792292292292293,1.2833194167897743,0.0242705758639141,0.7892192192192192,1.2670750732468323,0.0240675136233182,0.7742342342342343,1.2915987898533858,0.0240171061457894,0.7942142142142142,1.259106148067858,0.0238254581893761,0.5744344344344344,1.740842714250863,0.5394694694694695,0.0299053090379076,1,16.406782150268555,16.406782150268555,0.0,0.1972950547933578,0.1972950547933578,58,58.0,7.933267116546631,1.0307742357254028,235.84976,1118.818,296.25098,58886.168,286740.47,0.0074623899567087,0.0001973311522422,0.0085252965422693,17.392975,0.252928822032714,1.5044637024402618,2.0730743,1.4504318665850526,1.3626544,7.2838945,55,45,5.0583425e-05,5.0370756e-05,1.3837549e-05,0.0,0.00014340226,0.0,1000000.0,1000000.0,1
15.19423359,142.73422,17,50702,4376,1,11.5863802559415,-0.006195295,1.5115931,2.2849135,0.0,-6.915684,5.3117533,12.227438,-0.0867978,0.19675756,-2.4620543,-1.919889,-0.99044394,1.002989,1.9017764,2.4381871,3.4270787,1.993433,-243.9905,1.0,0.0023995426,0.9901021,0.021672154,0.04883578,0.029383194,0.035663746,0.048722185,0.10061546,0.023705497,0.016993472,0.039616633,0.012820304,0.03959595,0.06976504,0.01659443,0.03308088,0.0035505702,0.040073924,0.05303923,0.0567731,-0.00935216,0.029825207,119047.195,98.04268926382063,106106.9,2.234216779470444,99848.13,49.41561818122864,79424.875,0.5914103239774704,75639.98,49.48133043944836,74947.63,48.42993430793285,71109.43,2.5627780705690384,67667.35,141.9384777545929,65786.48,30.490487813949585,62987.895,124.78757835924624,10002.223,10845.319,119047.195,0.0048878053335802,2.2327727727727726,0.447873609081209,0.0048529212441848,2.237767767767768,0.4468738956757457,0.0048058646630104,2.227777777777778,0.4488778054862842,0.004702842499583,2.2427627627627627,0.4458786353168015,0.0046142438424096,2.222782782782782,0.4498865151133048,0.0044473476104247,2.247757757757758,0.4448877983175314,0.0043283423296354,2.217787787787788,0.4508997684568756,0.004102960491565,2.2527527527527527,0.4439013552543879,0.0039700217513336,2.2127927927927926,0.4519175962869473,0.0037689277972968,0.6093993993993995,1.6409599369240624,0.0037578222110262,0.6044044044044045,1.6545213646902943,0.0037563337562091,0.6143943943943945,1.6276190165857471,0.003723913084992,0.5994094094094095,1.6683088124780814,0.003715529187068,0.6193893893893895,1.6144932689044391,0.0036911634614447,2.2577477477477474,0.4429192769642074,0.0036646343915057,0.5944144144144144,1.6823279781752043,0.0036397163853426,0.6243843843843844,1.6015775298191612,0.0035754753906241,0.5894194194194194,1.696584752814904,0.0035648060800835,2.207797797797798,0.4529400296519298,0.0035222390430641,0.6293793793793794,1.5888667992047714,2.2327727727727726,0.0048878053335802,22,6.915684223175049,5.626694202423096,0.832998514175415,0.0108185298740863,0.0077865794301033,4,3.2,4.575096607208252,1.0,239.09476,1010.47736,299.79385,59186.715,266244.9,0.0021752426941947,3.984621592068651e-05,0.0052103408473753,18.001442,0.1409443121933412,0.7855130881071091,1.5116056,1.4952629635839083,1.4126691,8.862574,19,0,0.00010024045,9.874762e-05,2.5120895e-05,0.0,0.00020171131,0.0,1000000.0,1000000.0,0
13.93291548,139.41058,8,23951,4013,1,5.968352853227012,-0.07374336,1.6270953,2.6474392,0.0,-9.600755,6.0326943,15.63345,-0.41113403,1.1648636,-2.8350832,-2.0802767,-1.0361521,0.9679346,1.8923645,2.4553788,3.5557349,2.0040867,-22.064297,1.0,-0.028056974,1.0030408,0.01651999,0.06832253,0.058543477,0.07023225,0.064153984,0.5600017,0.021353511,0.07838006,0.055242956,0.045778405,0.10715987,0.45692304,0.018383415,0.062496006,0.052275516,0.020598201,0.15213524,0.36358055,0.009094239,0.04739466,856624.0,0.4340294748544693,636168.25,49.62403662502766,409374.88,98.81404377520084,400573.03,98.23533780872822,378248.8,142.57868248969316,303607.12,0.3616912290453911,299469.8,142.1446530148387,272111.38,48.61130118370056,269434.8,99.10339675843716,229569.22,141.85530003160238,10626.82,35672.004,856624.0,0.0406306734823106,0.4345745745745746,2.3011010273183765,0.0401851632574973,0.4395695695695696,2.2749527474779674,0.0399410492167837,0.4295795795795796,2.3278573925200976,0.0385326490207364,0.4445645645645646,2.2493920562010263,0.0383184706262134,0.4245845845845846,2.355243304413429,0.036038894888106,0.4195895895895896,2.383281246272395,0.0357568093249912,0.4495595595595596,2.2243993676382177,0.0333852734003533,0.4145945945945946,2.4119947848761405,0.0320795580420732,0.4545545545545545,2.1999559568377007,0.0305923430941053,0.4095995995995996,2.441408636574696,0.0278193924116388,0.4046046046046046,2.471548738248392,0.0278079074481093,0.4595495495495496,2.176043912958243,0.0251567872305471,0.3996096096096096,2.502442323589088,0.0232682077482201,0.4645445445445446,2.152646095500776,0.0226578634633159,0.3946146146146146,2.534118005174775,0.0203760480509559,0.3896196196196196,2.566605862857436,0.0187538711621831,0.4695395395395396,2.129746093333617,0.018384973416525,0.3846246246246246,2.599937539038101,0.0167690985109199,0.3796296296296296,2.6341463414634143,0.015589456227302,0.3746346346346346,2.6692673542457115,0.4345745745745746,0.0406306734823106,58,9.600754737854004,7.294310092926025,2.3064446449279785,0.01023839879781,0.0065868459641933,4,3.0,5.900548458099365,1.0,252.08156,1349.7136,322.97922,63586.13,335356.6,0.0386422943526507,0.0091254009465264,0.0063579915069852,17.782272,0.4126613392394789,2.001288950443268,1.6287655,1.6135867004429685,1.4852595,10.4528675,32,2,2.0323892e-05,0.0,3.0104038e-05,0.0,0.00020438904,0.0,0.0,0.0,1
22.1334224,152.18405,17,58283,6375,1,9.14243137254902,0.014090539,1.5080851,2.2743208,0.0,-7.398301,6.7987566,14.197058,-0.111060664,0.47681403,-2.4348166,-1.8807573,-0.97684205,1.0272018,1.9355155,2.463211,3.4949622,2.0040438,107.028206,1.0,0.022292897,0.9809061,0.02803678,0.008769003,0.030893808,0.03941209,0.028927054,0.039107468,0.021567909,0.052051168,0.02460449,0.029743835,0.02335779,0.033521477,0.032318864,0.01597043,0.009996755,0.024517719,0.015910363,-0.0062495396,0.010626036,0.007577588,149557.5,0.582721158862114,137341.38,1.4343905448913574,111103.61,53.92411954700947,101049.68,128.3779537677765,98907.01,2.5998328626155853,98783.66,4.347996339201927,97899.93,1.5688646584749222,96680.33,28.28438855707645,92905.13,112.51000836491583,92367.24,29.091233238577843,14501.072,15011.938,149557.5,0.0033476730663547,1.4535535535535535,0.6879691481302941,0.0033439470451387,0.5794294294294294,1.7258357087328324,0.0033259292008485,0.5844244244244244,1.7110852288298164,0.0033113866748747,1.4585485485485483,0.6856131055734375,0.0032148786527331,0.5744344344344344,1.740842714250863,0.0031602297737597,1.4485585585585583,0.6903414391442254,0.003139830415757,0.5894194194194194,1.696584752814904,0.0030512421211902,1.4635435435435435,0.6832731451083388,0.0029728105481671,0.5694394394394395,1.756112995939318,0.0027874899060335,1.4435635635635635,0.6927301472831664,0.0027873646000254,0.5944144144144144,1.6823279781752043,0.0027533144586916,1.5684384384384384,0.6375768251354611,0.0026810351633634,1.5634434434434434,0.6396137987553461,0.0026602181892694,0.5644444444444445,1.7716535433070864,0.0026292865397265,1.5734334334334334,0.6355527845991373,0.0026065168232499,1.4685385385385386,0.6809491026331396,0.0024213279997067,1.5584484484484484,0.6416638298145663,0.0023969859586193,2.6073973973973974,0.3835241996475723,0.0023932306571154,2.612392392392392,0.3827908865881415,0.0023375663466569,1.5784284284284285,0.6335415543647145,1.4535535535535535,0.0033476730663547,47,7.398301124572754,5.765865325927734,1.0519413948059082,0.0285189021378755,0.0091160992160439,9,3.6,4.905758380889893,1.0,242.80878,1282.3381,303.42386,60408.78,328436.72,-0.0016847337324627,5.095165991872898e-05,0.0029564400674893,25.775036,0.0983765792114834,0.5366621688008308,1.508151,1.4869113126703837,1.4145184,7.738483,33,0,0.00014925392,0.0001472368,3.9977374e-05,2.2273118e-05,0.00033391052,-0.0056798514,8684.316,98867.98,0
180.921729,234.3344,17,60678,43051,1,1.40944461220413,-0.027430348,2.2769635,5.184562,0.0,-26.439749,24.396946,50.836693,-1.0205821,18.085941,-2.917939,-2.0970557,-1.0013632,0.9975464,2.1281352,2.9724646,5.7794437,1.9989095,-83.00892,1.0,-0.0004222787,1.0180945,-0.023326052,-0.02453903,-0.0030745103,0.12996382,0.25510323,0.16139206,-0.01331923,0.066471644,0.11171786,0.13545273,0.09700381,0.11750329,0.05841814,0.08993277,0.07996574,0.076598704,0.11756234,0.09130662,0.08019715,0.057916455,23271150.0,0.3128172727301717,16718148.0,0.1348350313492119,12076248.0,0.0809010188095271,10765884.0,0.3559644827619195,10518552.0,0.361357884015888,9473083.0,0.2049492476508021,8461770.0,0.1618020376190543,8461517.0,0.4314721003174782,7947912.0,0.1240482288412749,7763529.0,0.463832507841289,223205.73,404423.6,23271150.0,0.0044056267099739,0.2247847847847848,4.448699679372996,0.0025860040924222,0.3696396396396396,2.7053375578844747,0.0025347999957732,0.4945145145145145,2.0221853366260474,0.0024852011597358,0.3646446446446447,2.7423959591523,0.0023293520404478,0.1498598598598599,6.672900941820853,0.0021691863689907,0.3446646646646646,2.901370817843866,0.002148845173181,0.3596496496496497,2.780483731804392,0.0021442439008814,0.0849249249249249,11.775106082036777,0.0020997949988278,0.1748348348348348,5.719683957402953,0.0019778114914836,0.2347747747747748,4.259401381427475,0.0018482766005725,0.1448648648648648,6.902985074626865,0.0017506611628112,0.3047047047047047,3.281865965834428,0.0017269724858055,0.6693393393393394,1.4940104984521512,0.0016733740613028,0.3746346346346346,2.6692673542457115,0.0014648990900991,0.0799299299299299,12.51095804633688,0.0014508969675999,0.5494594594594595,1.819970486965076,0.0013639940011358,0.7492592592592593,1.3346515076618883,0.0013624133710643,0.5544544544544545,1.8035746524643437,0.0013203795061093,0.2147947947947948,4.655606300680399,0.0012632724063911,0.4595495495495496,2.176043912958243,0.2247847847847848,0.0044056267099739,559,13.583969116210938,10.988706588745115,2.375326156616211,0.0038433074951171,0.0027310508303344,2,2.0,5.965826511383057,1.0,254.76326,3344.2385,378.4005,52754.914,734642.9,-2.193121767438505e-05,2.543001400218361e-07,0.0002096080012887,271.64984,0.0264915578917355,0.291712112724781,2.2771285,2.3033807363729992,1.5530944,43.51336,712,264,9.342089e-05,0.0,0.00015136554,0.0,0.002388853,0.0,0.0,0.0,1
6.51112385,131.70646,17,59788,1876,1,31.86993603411514,-0.057929453,1.7611986,3.1018207,0.0,-13.841521,4.8051047,18.646626,-2.4090257,15.783585,-2.2901576,-1.7385232,-0.95625985,1.0225402,1.8406765,2.3317542,3.1728191,1.9788,-30.402473,1.0,0.017370801,0.96315897,0.39105174,0.3575021,0.3155309,0.32843447,0.3062772,0.39380783,0.23235069,0.22898403,0.17487107,0.16665357,0.14851213,0.19460908,0.092767365,0.073848404,0.009822316,0.031232517,0.041196167,0.067380354,0.017687425,-0.031386536,83067.97,3.381242513656616,81693.516,0.768464207649231,76871.81,1.536928415298462,75426.336,1.690621256828308,71094.164,0.9221570491790771,65861.266,3.22754967212677,63701.984,4.610785245895386,62761.016,5.840327978134155,56557.67,2.1516997814178467,54250.07,1.3832355737686155,5825.2183,10148.554,83067.97,0.0160996208780244,0.8441641641641642,1.1846037091495518,0.0160937664416567,0.8491591591591592,1.177635534179722,0.0160885454247989,0.8391691691691692,1.1916548375937877,0.0160670682590849,0.8541541541541542,1.170748857377241,0.01606431972728,0.8341741741741743,1.1987904096767223,0.0160303077530456,0.8291791791791793,1.2060119514697891,0.0160157839162409,0.8591491491491492,1.163942257279008,0.0159892238066531,0.8241841841841843,1.2133210260396423,0.0159429626875706,0.8191891891891893,1.2207192345760474,0.0159366442344895,0.8641441441441442,1.1572143452877397,0.0158925030397686,0.8141941941941943,1.2282082175612874,0.0158378851378056,0.8091991991991992,1.2357896559828794,0.0158271212323153,0.8691391391391392,1.1505637647275615,0.0157782571062067,0.8042042042042042,1.243465272591486,0.0157119776255897,0.7992092092092092,1.2512368332059969,0.0156856340208004,0.8741341341341342,1.143989189931979,0.0156367592526369,0.7942142142142142,1.259106148067858,0.0155498350980927,0.7892192192192192,1.2670750732468323,0.0155116701728553,0.8791291291291292,1.1374893253629377,0.0154481329113743,0.7842242242242242,1.27514551210048,0.8441641641641642,0.0160996208780244,2,13.84152126312256,13.84152126312256,0.0,0.0590652674436569,0.0590652674436569,18,18.0,7.859148502349853,1.0,232.18556,946.9624,287.8837,57962.97,209737.4,-0.0004588097286917,2.398613049539353e-07,0.0216405192304278,7.826602,0.2268369993930978,1.1176262497901917,1.7621511,1.374902438123711,1.3476933,6.6892037,17,14,7.0791866e-05,6.979941e-05,1.1615508e-05,3.468963e-05,0.00013930489,-0.060666773,17587.107,215809.53,0
0.63133171,133.94488,17,60548,182,1,332.68131868131866,-2.2555182,8.291613,68.75084,0.0,-38.529385,3.5855694,42.114952,-3.284989,9.871695,-26.391058,-3.3988497,-1.0305823,0.9001475,1.7411369,2.2041993,3.3367922,1.9307299,-3.6761453,1.0,-0.111108504,1.1216099,0.9633785,0.9267977,0.8754267,0.7914582,0.70180416,0.6113694,0.49194467,0.3920444,0.30128095,0.21023975,0.13724262,0.0796664,0.018750707,-0.012136056,-0.032600645,-0.051383577,-0.057301104,-0.060591795,-0.07029683,-0.06555416,234476.75,1.5794446468353271,177185.89,3.1588892936706543,162867.05,4.738333940505981,128872.234,6.317778587341309,107894.02,7.897223234176636,105847.46,9.476667881011965,66455.69,11.05611252784729,50996.543,12.635557174682615,36360.87,14.215001821517944,17939.324,15.794446468353271,12650.152,40390.49,234476.75,0.3024403810144581,2.3926126126126124,0.417953159123428,0.3024384188469638,2.397607607607608,0.4170824270105753,0.3024237932287003,2.3876176176176176,0.4188275344516042,0.3024177372980319,2.4026026026026024,0.4162153153903841,0.3023888316333251,2.3826226226226224,0.4197055759083118,0.3023781738945425,2.4075975975975976,0.4153518017287615,0.3023356788444462,2.377627627627628,0.4205873065993053,0.3023195733542332,2.4125925925925924,0.4144918636782315,0.3022645237048022,2.3726326326326324,0.4214727498249138,0.3022417878171912,2.417587587587588,0.413635479076007,0.3021755610354762,2.3676376376376376,0.4223619290820921,0.3021446770725685,2.4225825825825824,0.4127826259420865,0.3020689913856504,2.3626426426426423,0.4232548680665006,0.3020281087800445,2.4275775775775776,0.4119332824773725,0.3019450207808369,2.357647647647648,0.4241515906746091,0.3018919586855565,2.4325725725725724,0.4110874270618154,0.3018038604700275,2.3526526526526528,0.425052121005829,0.301736110830828,2.437567567567568,0.4102450382525778,0.3016457266721921,2.347657657657657,0.4259564833646725,0.3015604577562203,2.4425625625625624,0.4094060947822238,2.3926126126126124,0.3024403810144581,1,38.52938461303711,38.52938461303711,0.0,0.0348163694143295,0.0348163694143295,11,11.0,4.646790027618408,1.4013317823410034,324.14804,2329.2417,487.19684,62930.297,249098.27,0.2744109104380737,3.657231482175497e-05,3.3820572558868776,2.0988877,7.891154589638885,36.09484273195267,8.592916,1.6610486037258745,1.4529703,10.170311,8,0,1.386199e-05,1.37430925e-05,9.2177976e-07,1.2154387e-05,1.878624e-05,-2.1439824,235185.58,2618029.2,1
9.7704486,175.71372,17,60379,2814,1,21.456645344705045,-0.12819651,2.0910075,4.3723125,0.0,-18.316864,5.3404694,23.657333,-3.3277628,23.055145,-2.6873517,-2.0218918,-1.0157394,0.99212,1.9362061,2.4614332,3.5786855,2.0078595,-16.310955,1.0,-0.0013326099,1.0017691,0.46815792,0.49412158,0.46421838,0.44486913,0.43759298,0.47692463,0.40587798,0.3795005,0.32242325,0.3286425,0.30679908,0.31541488,0.28106752,0.2541368,0.2118193,0.17605263,0.18311039,0.1612665,0.1380668,0.10643616,327668.34,0.6145601123571396,296232.6,0.8194134831428528,268028.1,1.6388269662857056,259285.45,0.512133426964283,228514.84,2.3558137640357018,217298.72,4.097067415714264,197660.19,2.9703738763928413,196328.17,3.4825073033571243,184216.06,1.7412536516785622,180153.61,3.380080617964268,12308.785,29750.04,327668.34,0.0204520546143164,0.5894194194194194,1.696584752814904,0.0204449910053086,0.5844244244244244,1.7110852288298164,0.0203375856168211,0.5944144144144144,1.6823279781752043,0.0203170680867001,0.5794294294294294,1.7258357087328324,0.0201087772785627,0.5994094094094095,1.6683088124780814,0.0200770542859571,0.5744344344344344,1.740842714250863,0.0197793297389553,0.6044044044044045,1.6545213646902943,0.0197408202361486,0.5694394394394395,1.756112995939318,0.0193673277424182,0.6093993993993995,1.6409599369240624,0.0193293520997016,0.5644444444444445,1.7716535433070864,0.0188928570858708,0.6143943943943945,1.6276190165857471,0.0188662274636345,0.5594494494494495,1.787471595483905,0.0183758221585101,0.6193893893893895,1.6144932689044391,0.0183750696726269,0.5544544544544545,1.8035746524643437,0.0178773950062494,0.5494594594594595,1.819970486965076,0.0178342687810861,0.6243843843843844,1.6015775298191612,0.017391079112404,0.5444644644644645,1.8366671569348432,0.017283325377402,0.6293793793793794,1.5888667992047714,0.0172588080620593,0.8291791791791793,1.2060119514697891,0.0172379874721882,0.8341741741741743,1.1987904096767223,0.5894194194194194,0.0204520546143164,2,18.316864013671875,18.316864013671875,0.0,0.0971639603376388,0.0971639603376388,29,29.0,8.759827613830566,1.0,243.09648,1175.3787,303.455,59486.715,258472.0,0.0185077612130126,0.0006233749562453,0.0139744958065505,12.953678,0.2444394433432589,1.0249536633491516,2.0949335,1.5253544647215345,1.4177686,9.11141,29,24,0.00015208496,0.00014980478,2.922332e-05,7.139425e-05,0.00029549506,-0.14364626,8949.754,163954.22,0
24.66461416,189.02031,14,48425,7021,1,6.897165645919385,-0.07281497,2.2773414,5.1862836,0.0,-30.521917,13.026264,43.54818,-1.2491766,12.561361,-3.3772848,-2.262112,-0.9962733,1.0046394,2.1190772,3.1191902,6.1963453,2.0009127,-31.27573,1.0,-0.0041770777,1.035306,0.09587937,0.07466164,0.08541549,0.0904657,0.12271173,0.43630257,0.06965322,0.048759643,0.07200759,0.08223535,0.14804818,0.27527502,0.034989256,0.04272035,0.04645686,0.06640867,0.11401024,0.15972784,0.023921337,0.019028109,766214.3,50.72933880239725,686707.7,0.3814236000180244,614311.25,0.5085648000240326,556029.8,49.8817308023572,510241.8,1.1018904000520706,465159.47,1.2714120000600817,457539.78,1.9071180000901224,452747.78,50.008872002363205,408382.94,50.43267600238323,395433.1,55.60308480262756,36418.082,56043.586,766214.3,0.0057249539419059,0.4745345345345346,2.107328186305531,0.0056035349316849,0.4695395395395396,2.129746093333617,0.005520161546978,0.4795295295295295,2.085377309257906,0.0051818383694994,0.4645445445445446,2.152646095500776,0.0051215708908925,0.3696396396396396,2.7053375578844747,0.0050988896235641,0.3646446446446447,2.7423959591523,0.0050471413964966,0.4845245245245245,2.0638790182629534,0.0049044109443943,0.3746346346346346,2.6692673542457115,0.0048401479644801,0.3596496496496497,2.780483731804392,0.0045495926872139,0.4595495495495496,2.176043912958243,0.0044787084917004,0.3796296296296296,2.6341463414634143,0.0044181167918806,0.4895195195195195,2.0428194589289,0.0043846038828684,0.3546546546546547,2.819644369178662,0.0043186330770315,4.875125125125125,0.2051229403008059,0.004164598636362,4.87013013013013,0.2053333223712607,0.0041313911029728,4.88012012012012,0.204912988899008,0.0041201804276051,1.228778778778779,0.813816137835526,0.0040132154500389,1.223783783783784,0.8171378091872791,0.004003973672638,1.8181881881881885,0.5499980730798241,0.0039926712224478,1.1588488488488489,0.8629253081567604,0.4745345345345346,0.0057249539419059,91,16.009689331054688,16.009689331054688,0.0,0.0960461050271987,0.0960461050271987,29,29.0,7.029991149902344,1.0,331.0359,4996.3257,461.04953,86773.46,1480036.2,0.0036839925407342,0.0001328305953111,0.0038150761914437,38.151524,0.1544214509044708,0.916385680437088,2.278505,2.165563744902862,1.5726479,31.714996,133,30,0.00019704663,0.00016416931,0.000163672,0.0,0.0028384235,0.0,1000000.0,1000000.0,0
26.7838935,140.75396,17,59928,7714,1,7.76873217526575,-0.029363006,1.536657,2.3613148,0.0,-8.911375,5.7533345,14.664709,-0.10492158,0.45218372,-2.5626552,-1.9745829,-1.0205466,0.97662795,1.9158152,2.464982,3.56404,1.9971745,-52.333096,1.0,-0.020033613,0.9879199,0.055421244,0.057536997,0.04253658,0.04794795,0.035231546,0.0917594,0.04342229,0.029222129,0.04844634,0.01657265,0.037284218,0.07038057,0.050702553,0.037345443,0.046866953,0.03821015,0.044076473,0.063445926,0.010980871,0.047783,280602.6,2.346537195146084,212260.64,0.5959459543228149,210102.33,0.2234797328710556,198125.92,0.7076858207583427,187743.11,0.3352195993065834,158696.95,1.4898648858070374,154100.11,1.080152042210102,127874.75,1.4153716415166857,123988.75,47.86190945655108,123924.76,0.7821790650486946,18216.148,19544.102,280602.6,0.004246926759926,2.3426626626626628,0.4268647022629384,0.0042216325127767,2.347657657657657,0.4259564833646725,0.0040960609413192,0.6943143143143143,1.440269888411522,0.0040305994544986,2.3376676676676675,0.4277768024219275,0.0039592931751098,0.6993093093093093,1.4299823936101688,0.0039518417642927,2.3526526526526528,0.425052121005829,0.0038538478977667,0.2347747747747748,4.259401381427475,0.0038404127460801,0.6893193193193193,1.4507064751753482,0.0037077345632181,0.2397697697697698,4.170667557299711,0.0036382335750512,0.2297797797797798,4.351993029840993,0.0036124526015734,2.3326726726726728,0.4286928087746852,0.0034865898089224,0.7043043043043044,1.4198408186469584,0.0034747355441761,2.357647647647648,0.4241515906746091,0.0032446817478817,0.6843243243243243,1.4612954186413902,0.0032104044751588,0.2447647647647647,4.085555373793555,0.0031478050541004,1.5084984984984986,0.6629108355065395,0.0031308106990934,1.5134934934934936,0.6607230254368444,0.0030995177747116,0.2247847847847848,4.448699679372996,0.0030557585738304,2.327677677677677,0.4296127464682736,0.0030152594806498,0.5994094094094095,1.6683088124780814,2.3426626626626628,0.004246926759926,59,8.911375045776367,6.76111364364624,1.4113706350326538,0.0137505196034908,0.0070380121469497,5,3.0,5.799196243286133,1.0,240.65465,1258.5375,303.07574,59886.28,304750.7,0.0007060975408008,1.262381076884137e-05,0.0022629929935007,32.66683,0.1122890272771334,0.5662325322628021,1.5369375,1.4935401690041772,1.4188704,9.281622,37,1,9.795178e-05,9.628287e-05,3.509328e-05,0.0,0.0003112052,0.0,1000000.0,1000000.0,0
